Designator,Mid X,Mid Y,Rotation,Layer
R9_2,27.701893,-179.765977,180.0,top
R9,27.701893,-58.426231,180.0,top
U1_4,142.724942,-175.701977,270.0,top
U1_3,36.801893,-175.701977,270.0,top
U1_2,36.801893,-54.362231,270.0,top
U1,142.724942,-54.362231,270.0,top
U2_4,36.583393,-73.853231,90.0,top
U2_3,142.506442,-73.853231,90.0,top
U2_2,36.583393,-195.192977,90.0,top
U2,142.506442,-195.192977,90.0,top
U5_4,47.511893,-181.284977,270.0,top
U5_3,47.511893,-59.945231,270.0,top
U5_2,153.434942,-59.945231,270.0,top
U5,153.434942,-181.284977,270.0,top
Y1_4,139.212942,-202.498977,180.0,top
Y1_3,33.289893,-81.159231,180.0,top
Y1_2,139.212942,-81.159231,180.0,top
Y1,33.289893,-202.498977,180.0,top
